ID,F1,F2,F3,F4,F5,F6
BROKFar,2,0,58,84,0,7
BROKNear,12,1,195,84,1,2
CACRFar,0,0,8,100,0,13
CACRNear,0,0,16,84,0,13
CLCRCemRd,1,87,9,64,0,8
CLCRMemRock,3,14,72,54,12,44
EOAChalet,67,70,25,147,0,45
EOALynx,12,147,71,110,3,17
HWSPLeft,1,1,26,174,1,13
HWSPRight,5,0,147,60,0,23
SSFOFar,1,286,111,129,2,50
SSFONear,1,147,18,68,1,26
